mths_since_last_delinq,emp_length,purpose,open_acc,tot_cur_bal
,5 years,credit_card,13,141591
20,10+ years,other,12,97650
,2 years,debt_consolidation,21,258425
57,8 years,debt_consolidation,10,191364
20,10+ years,debt_consolidation,19,120728
,10+ years,debt_consolidation,10,283929
35,10+ years,credit_card,6,37666
6,5 years,home_improvement,7,102009
,n/a,debt_consolidation,21,31251
17,10+ years,debt_consolidation,4,58029
56,3 years,debt_consolidation,6,58225
75,10+ years,home_improvement,16,253747
,< 1 year,debt_consolidation,15,97465
,< 1 year,educational,7,
29,3 years,debt_consolidation,6,10861
82,10+ years,debt_consolidation,18,58971
54,3 years,major_purchase,16,152902
21,10+ years,debt_consolidation,16,242371
,8 years,credit_card,18,335125
3,8 years,debt_consolidation,12,632686
,4 years,credit_card,13,63870
69,1 year,debt_consolidation,6,
6,10+ years,debt_consolidation,19,
32,< 1 year,debt_consolidation,8,21958
14,8 years,debt_consolidation,10,21717
29,10+ years,debt_consolidation,14,43514
,10+ years,home_improvement,11,66087
,10+ years,credit_card,16,
71,7 years,major_purchase,17,33364
13,2 years,debt_consolidation,7,382815
6,10+ years,debt_consolidation,10,136647
80,8 years,other,14,45191
4,n/a,credit_card,4,191578
,4 years,debt_consolidation,11,25591
,1 year,debt_consolidation,15,260897
,9 years,credit_card,15,217557
37,1 year,major_purchase,10,184935
,5 years,debt_consolidation,11,51879
30,8 years,debt_consolidation,12,22129
29,2 years,debt_consolidation,8,41457
23,6 years,credit_card,16,43449
62,10+ years,credit_card,8,26390
,2 years,credit_card,7,72024
,3 years,debt_consolidation,12,37505
24,1 year,other,7,120452
,10+ years,credit_card,14,114919
15,7 years,credit_card,15,337195
,7 years,debt_consolidation,19,92441
,10+ years,debt_consolidation,11,50957
38,< 1 year,debt_consolidation,17,441507
,3 years,credit_card,6,19683
,2 years,debt_consolidation,6,140897
,1 year,debt_consolidation,9,38933
51,1 year,debt_consolidation,12,231803
,8 years,renewable_energy,16,103554
,< 1 year,credit_card,14,64157
11,2 years,debt_consolidation,15,268342
58,5 years,credit_card,6,16259
,10+ years,debt_consolidation,13,329952
,1 year,credit_card,30,310770
,10+ years,debt_consolidation,21,71356
,< 1 year,credit_card,15,419843
,10+ years,debt_consolidation,3,349486
,6 years,debt_consolidation,9,140665
,1 year,debt_consolidation,12,198663
,4 years,credit_card,6,14014
,9 years,debt_consolidation,7,274337
,9 years,debt_consolidation,14,36617
30,9 years,debt_consolidation,6,106944
,4 years,debt_consolidation,11,266088
24,3 years,debt_consolidation,10,14698
37,10+ years,debt_consolidation,11,195079
,10+ years,debt_consolidation,10,
35,n/a,debt_consolidation,9,13045
,1 year,debt_consolidation,4,145857
,5 years,small_business,15,
25,3 years,debt_consolidation,4,13417
50,1 year,debt_consolidation,9,146079
,10+ years,credit_card,8,54943
,10+ years,debt_consolidation,15,90044
12,n/a,credit_card,9,35986
,10+ years,credit_card,11,67845
,2 years,debt_consolidation,8,30750
,3 years,credit_card,10,205250
32,8 years,debt_consolidation,7,
,10+ years,credit_card,9,
13,3 years,debt_consolidation,9,94987
1,10+ years,debt_consolidation,19,49706
28,2 years,home_improvement,7,
,10+ years,debt_consolidation,26,226577
44,2 years,debt_consolidation,20,69558
,10+ years,debt_consolidation,14,230587
32,1 year,debt_consolidation,21,224941
,10+ years,debt_consolidation,15,219526
,7 years,credit_card,12,39552
35,1 year,home_improvement,14,72652
9,1 year,credit_card,8,32154
35,n/a,medical,5,96521
,6 years,debt_consolidation,4,
56,6 years,debt_consolidation,9,49665
,3 years,major_purchase,19,452874
,7 years,debt_consolidation,5,32439
,10+ years,home_improvement,32,87849
,1 year,credit_card,6,
28,2 years,credit_card,7,80342
,3 years,credit_card,7,22813
,10+ years,debt_consolidation,13,151975
20,10+ years,debt_consolidation,7,68575
,10+ years,credit_card,18,33257
,5 years,debt_consolidation,9,15226
,< 1 year,debt_consolidation,18,271663
,2 years,debt_consolidation,18,473715
,10+ years,credit_card,19,203821
,4 years,home_improvement,8,16096
,8 years,credit_card,5,9075
40,10+ years,debt_consolidation,8,6823
,9 years,home_improvement,6,21741
81,10+ years,debt_consolidation,9,195892
,2 years,debt_consolidation,8,
7,10+ years,debt_consolidation,13,18408
53,10+ years,debt_consolidation,15,341816
,10+ years,debt_consolidation,9,25952
12,1 year,debt_consolidation,8,309230
,10+ years,debt_consolidation,16,176210
,2 years,debt_consolidation,3,36737
9,10+ years,debt_consolidation,5,265118
23,< 1 year,other,8,224774
,4 years,credit_card,15,69276
,8 years,debt_consolidation,11,37431
,3 years,credit_card,13,217834
,10+ years,debt_consolidation,18,21035
55,10+ years,debt_consolidation,11,12293
15,7 years,credit_card,7,135179
,2 years,debt_consolidation,13,14776
59,10+ years,debt_consolidation,9,
,3 years,debt_consolidation,14,413176
49,10+ years,debt_consolidation,8,13276
,10+ years,debt_consolidation,12,
17,8 years,credit_card,15,138520
35,2 years,debt_consolidation,3,
,2 years,debt_consolidation,18,33613
51,4 years,debt_consolidation,18,52768
,10+ years,debt_consolidation,4,246791
,7 years,moving,4,33206
,8 years,credit_card,12,27086
,8 years,debt_consolidation,13,
31,3 years,credit_card,27,146048
48,< 1 year,debt_consolidation,11,72759
36,1 year,debt_consolidation,7,16021
41,7 years,other,9,85104
31,2 years,other,25,54160
62,8 years,home_improvement,16,121624
49,5 years,other,7,44078
56,6 years,debt_consolidation,21,26888
,8 years,debt_consolidation,11,37735
9,10+ years,credit_card,13,164023
65,6 years,credit_card,14,65190
14,3 years,debt_consolidation,9,155149
,2 years,debt_consolidation,11,67002
,6 years,debt_consolidation,14,170037
,8 years,debt_consolidation,8,13043
,1 year,other,6,9873
,6 years,debt_consolidation,9,46811
,< 1 year,credit_card,4,3796
55,3 years,debt_consolidation,20,38225
,10+ years,debt_consolidation,11,219451
33,3 years,debt_consolidation,4,98262
,< 1 year,debt_consolidation,13,439520
,10+ years,credit_card,8,479800
41,1 year,debt_consolidation,6,4775
,10+ years,credit_card,29,186385
26,< 1 year,debt_consolidation,8,22145
33,2 years,credit_card,4,13563
,7 years,debt_consolidation,19,19229
,2 years,credit_card,13,245760
19,10+ years,debt_consolidation,10,79658
,10+ years,credit_card,22,265319
9,5 years,credit_card,11,765541
,10+ years,debt_consolidation,7,27220
78,2 years,home_improvement,8,19677
49,7 years,major_purchase,9,6454
,10+ years,credit_card,5,36108
49,4 years,debt_consolidation,7,24583
,10+ years,debt_consolidation,16,12825
,1 year,debt_consolidation,15,67313
13,10+ years,debt_consolidation,12,258575
18,< 1 year,credit_card,22,244420
,4 years,debt_consolidation,7,150493
,2 years,debt_consolidation,9,22934
,10+ years,debt_consolidation,12,59371
65,n/a,credit_card,25,180871
11,10+ years,debt_consolidation,9,80242
,3 years,debt_consolidation,15,47642
,8 years,home_improvement,28,306986
,6 years,debt_consolidation,7,5084
48,9 years,renewable_energy,11,36587
,3 years,other,5,4215
10,10+ years,debt_consolidation,6,241172
61,3 years,major_purchase,9,
,10+ years,other,13,56399
2,8 years,debt_consolidation,12,272945
,9 years,debt_consolidation,15,39679
41,10+ years,credit_card,16,141221
,5 years,debt_consolidation,23,278471
,< 1 year,credit_card,6,26954
,2 years,debt_consolidation,9,38242
,4 years,debt_consolidation,9,206753
,10+ years,credit_card,17,269127
52,10+ years,credit_card,15,93228
,3 years,debt_consolidation,6,13098
15,n/a,other,18,251460
19,5 years,debt_consolidation,17,
,6 years,debt_consolidation,16,64232
,n/a,debt_consolidation,7,3665
27,9 years,debt_consolidation,11,180890
,4 years,other,12,4002
27,10+ years,debt_consolidation,7,30297
,1 year,debt_consolidation,26,
11,6 years,credit_card,18,189160
1,10+ years,debt_consolidation,9,13035
56,< 1 year,credit_card,9,26433
56,2 years,credit_card,15,278135
53,9 years,home_improvement,15,
57,10+ years,debt_consolidation,10,123894
43,10+ years,credit_card,8,237218
20,10+ years,debt_consolidation,11,110691
38,5 years,other,4,31063
44,10+ years,debt_consolidation,21,53301
,6 years,credit_card,5,37186
39,4 years,home_improvement,6,159772
78,< 1 year,debt_consolidation,24,141700
77,10+ years,debt_consolidation,13,379124
80,< 1 year,other,9,12587
33,n/a,home_improvement,8,36114
18,2 years,debt_consolidation,6,57572
,10+ years,credit_card,13,25703
,4 years,debt_consolidation,11,36229
22,10+ years,credit_card,9,18073
,5 years,debt_consolidation,7,177569
29,2 years,debt_consolidation,7,25447
,10+ years,credit_card,3,5723
,2 years,debt_consolidation,23,591751
,3 years,debt_consolidation,16,114775
63,2 years,credit_card,24,250578
,9 years,credit_card,16,243948
,10+ years,debt_consolidation,7,217134
59,3 years,debt_consolidation,25,117410
30,9 years,debt_consolidation,11,26418
28,10+ years,debt_consolidation,15,332436
,10+ years,debt_consolidation,19,46177
,10+ years,debt_consolidation,14,62142
,< 1 year,small_business,7,169256
31,2 years,debt_consolidation,5,31201
,n/a,other,8,231806
,2 years,debt_consolidation,15,87014
88,n/a,debt_consolidation,13,67514
4,10+ years,other,7,177830
,10+ years,debt_consolidation,12,12975
12,6 years,debt_consolidation,10,25834
29,2 years,debt_consolidation,10,74429
13,1 year,credit_card,11,26807
,5 years,debt_consolidation,15,
35,< 1 year,debt_consolidation,6,23182
53,6 years,credit_card,7,39943
,10+ years,credit_card,12,60587
7,7 years,debt_consolidation,13,97181
,10+ years,debt_consolidation,9,156415
6,6 years,debt_consolidation,7,15038
,2 years,home_improvement,16,65649
,< 1 year,credit_card,10,25486
,10+ years,home_improvement,19,281083
,10+ years,house,10,
,10+ years,debt_consolidation,14,345801
81,n/a,debt_consolidation,6,287029
14,5 years,debt_consolidation,13,108852
81,10+ years,debt_consolidation,16,214023
,10+ years,debt_consolidation,8,26345
27,< 1 year,debt_consolidation,10,34037
,3 years,credit_card,8,19264
48,4 years,car,9,3492
,10+ years,other,6,139710
,5 years,debt_consolidation,9,153916
20,2 years,debt_consolidation,11,
26,7 years,credit_card,12,
,< 1 year,debt_consolidation,5,20564
9,10+ years,credit_card,11,26549
,8 years,debt_consolidation,33,135683
,10+ years,small_business,8,54137
,10+ years,credit_card,14,572741
,2 years,debt_consolidation,5,428951
,8 years,debt_consolidation,10,315402
,10+ years,other,10,358754
19,n/a,medical,11,537165
,< 1 year,credit_card,15,124798
,10+ years,debt_consolidation,10,84636
,1 year,debt_consolidation,14,38295
,5 years,small_business,9,23138
31,10+ years,debt_consolidation,28,123294
,10+ years,debt_consolidation,19,434583
37,7 years,home_improvement,14,177445
50,10+ years,debt_consolidation,21,248542
,2 years,debt_consolidation,36,355023
42,1 year,debt_consolidation,17,280237
,10+ years,credit_card,16,147153
89,< 1 year,home_improvement,13,328147
,10+ years,debt_consolidation,16,110081
19,< 1 year,other,8,48050
43,10+ years,other,12,158869
,2 years,debt_consolidation,6,
3,10+ years,debt_consolidation,13,37852
8,< 1 year,debt_consolidation,9,63473
6,3 years,debt_consolidation,13,339632
,3 years,credit_card,21,
,< 1 year,credit_card,6,29625
49,2 years,debt_consolidation,11,
,10+ years,debt_consolidation,13,293655
,9 years,debt_consolidation,8,30886
34,10+ years,debt_consolidation,16,403465
,< 1 year,home_improvement,7,23388
,10+ years,credit_card,5,60533
,2 years,credit_card,9,8603
19,5 years,credit_card,12,16939
43,2 years,debt_consolidation,9,31743
,2 years,debt_consolidation,20,54927
28,7 years,debt_consolidation,18,38928
16,< 1 year,debt_consolidation,6,
57,< 1 year,other,14,204878
,10+ years,vacation,8,
50,9 years,debt_consolidation,12,136133
15,3 years,debt_consolidation,13,75010
,3 years,debt_consolidation,13,432127
,7 years,credit_card,19,299007
7,10+ years,small_business,4,
,10+ years,debt_consolidation,18,596107
,1 year,moving,4,5493
,2 years,debt_consolidation,6,60738
25,n/a,home_improvement,18,123952
,< 1 year,debt_consolidation,18,90824
74,4 years,debt_consolidation,9,151024
,7 years,debt_consolidation,5,4538
6,10+ years,credit_card,7,202088
,10+ years,credit_card,12,122543
,< 1 year,debt_consolidation,13,314023
,10+ years,debt_consolidation,5,8816
,< 1 year,debt_consolidation,5,7482
,1 year,debt_consolidation,13,
,1 year,debt_consolidation,12,
,5 years,debt_consolidation,9,9838
,< 1 year,debt_consolidation,8,328729
,2 years,debt_consolidation,13,40206
76,5 years,major_purchase,6,
8,8 years,debt_consolidation,9,21319
34,6 years,debt_consolidation,14,27736
,10+ years,credit_card,7,
,10+ years,debt_consolidation,13,441049
,8 years,debt_consolidation,8,22567
50,8 years,debt_consolidation,9,345118
13,8 years,debt_consolidation,20,12407
27,7 years,debt_consolidation,15,17805
38,4 years,debt_consolidation,14,409071
37,10+ years,debt_consolidation,10,50733
,10+ years,debt_consolidation,7,160838
,3 years,credit_card,12,703713
6,2 years,debt_consolidation,13,
,2 years,debt_consolidation,12,14665
49,1 year,moving,13,329643
6,10+ years,home_improvement,13,28273
5,3 years,debt_consolidation,24,219894
5,7 years,home_improvement,6,
55,10+ years,debt_consolidation,16,772313
,8 years,debt_consolidation,11,18868
36,6 years,debt_consolidation,21,176708
5,n/a,debt_consolidation,20,11343
32,10+ years,debt_consolidation,6,143370
,n/a,debt_consolidation,11,447151
,8 years,credit_card,20,109003
81,10+ years,debt_consolidation,12,407301
,8 years,debt_consolidation,5,43085
26,2 years,debt_consolidation,8,360935
27,3 years,credit_card,7,210978
58,10+ years,debt_consolidation,15,16476
,9 years,credit_card,5,185489
37,10+ years,home_improvement,23,56911
9,10+ years,debt_consolidation,10,220093
,5 years,other,8,
22,10+ years,debt_consolidation,12,15803
,10+ years,credit_card,15,566768
35,10+ years,home_improvement,8,158161
,5 years,debt_consolidation,6,27813
,2 years,credit_card,4,5989
,9 years,major_purchase,8,10913
11,4 years,debt_consolidation,13,38477
5,10+ years,debt_consolidation,10,51266
36,< 1 year,credit_card,13,207335
,10+ years,home_improvement,12,
19,2 years,debt_consolidation,13,212269
58,6 years,debt_consolidation,7,132916
34,10+ years,credit_card,9,276243
,< 1 year,credit_card,10,502236
,10+ years,debt_consolidation,5,10645
25,< 1 year,credit_card,9,31274
,8 years,home_improvement,8,35245
,3 years,debt_consolidation,14,86224
,5 years,debt_consolidation,5,106821
69,4 years,debt_consolidation,14,262949
,10+ years,debt_consolidation,19,404935
62,5 years,debt_consolidation,7,412429
,2 years,debt_consolidation,21,350915
,2 years,credit_card,8,42291
34,10+ years,debt_consolidation,4,24488
51,2 years,credit_card,18,65259
,10+ years,debt_consolidation,14,164457
,2 years,debt_consolidation,9,124672
,9 years,debt_consolidation,22,511056
64,10+ years,debt_consolidation,4,164638
61,6 years,debt_consolidation,10,26859
37,10+ years,credit_card,6,316910
,10+ years,credit_card,10,73606
11,10+ years,debt_consolidation,14,220203
4,9 years,debt_consolidation,11,110188
81,10+ years,debt_consolidation,7,349868
,< 1 year,credit_card,15,35732
,7 years,debt_consolidation,4,5249
21,1 year,credit_card,11,255252
50,7 years,home_improvement,10,18009
,2 years,debt_consolidation,10,112683
,3 years,credit_card,22,220351
16,4 years,credit_card,32,224584
19,10+ years,other,11,263037
69,8 years,debt_consolidation,16,38125
44,4 years,debt_consolidation,16,32445
,4 years,home_improvement,6,152072
,10+ years,debt_consolidation,8,14917
,1 year,debt_consolidation,14,38756
45,1 year,debt_consolidation,17,253506
,< 1 year,debt_consolidation,9,110479
60,2 years,debt_consolidation,8,12583
20,3 years,other,4,126098
,10+ years,debt_consolidation,15,46039
,7 years,debt_consolidation,7,31180
35,8 years,debt_consolidation,16,87599
44,3 years,other,18,676577
,10+ years,debt_consolidation,8,25386
,5 years,debt_consolidation,6,10564
56,4 years,debt_consolidation,10,181717
77,3 years,debt_consolidation,11,341255
,< 1 year,home_improvement,5,252093
44,n/a,debt_consolidation,15,253380
4,< 1 year,debt_consolidation,10,825734
,10+ years,credit_card,13,238352
49,1 year,small_business,4,1774
4,10+ years,credit_card,10,21238
,3 years,debt_consolidation,28,13026
30,3 years,debt_consolidation,27,196751
15,10+ years,other,3,479950
,9 years,other,4,
34,10+ years,credit_card,6,75083
7,< 1 year,debt_consolidation,20,510955
,9 years,car,6,218633
73,2 years,debt_consolidation,7,30647
,10+ years,debt_consolidation,9,10818
,10+ years,debt_consolidation,8,30660
,7 years,debt_consolidation,2,5552
14,10+ years,debt_consolidation,12,181303
48,10+ years,debt_consolidation,13,243356
9,3 years,credit_card,18,72275
,3 years,debt_consolidation,18,
22,10+ years,debt_consolidation,14,70045
,10+ years,car,5,11700
5,10+ years,moving,3,
,< 1 year,debt_consolidation,9,17508
,10+ years,medical,15,14268
19,2 years,debt_consolidation,8,55339
6,10+ years,debt_consolidation,11,157121
,7 years,debt_consolidation,6,4914
,10+ years,credit_card,16,224917
,9 years,debt_consolidation,15,193371
,7 years,credit_card,14,151850
57,10+ years,debt_consolidation,14,184124
,6 years,home_improvement,8,165730
32,2 years,debt_consolidation,15,111375
,< 1 year,credit_card,11,12839
5,10+ years,debt_consolidation,7,225727
,n/a,debt_consolidation,7,250614
53,10+ years,home_improvement,15,191660
,8 years,debt_consolidation,14,323101
,8 years,debt_consolidation,7,441430
,6 years,debt_consolidation,8,23728
30,9 years,debt_consolidation,6,58866
,< 1 year,credit_card,8,23030
,1 year,debt_consolidation,13,87992
,10+ years,debt_consolidation,16,552729
26,10+ years,debt_consolidation,13,24281
21,10+ years,debt_consolidation,8,166250
,10+ years,credit_card,11,
,8 years,debt_consolidation,17,70501
8,7 years,debt_consolidation,12,66999
76,10+ years,debt_consolidation,20,204426
5,1 year,debt_consolidation,9,29214
,10+ years,debt_consolidation,10,347835
18,9 years,debt_consolidation,8,122353
78,10+ years,other,10,165482
,10+ years,debt_consolidation,9,274335
,10+ years,home_improvement,18,218727
,3 years,debt_consolidation,13,252740
65,10+ years,debt_consolidation,26,261502
30,7 years,debt_consolidation,14,40657
47,10+ years,debt_consolidation,24,36400
,n/a,credit_card,12,57296
52,10+ years,debt_consolidation,8,285139
,< 1 year,debt_consolidation,8,27375
,10+ years,credit_card,10,71053
,5 years,debt_consolidation,10,179243
20,10+ years,debt_consolidation,17,119954
19,10+ years,other,3,24911
76,9 years,debt_consolidation,28,26818
,5 years,debt_consolidation,11,24505
,5 years,credit_card,17,210826
6,10+ years,credit_card,23,257826
11,10+ years,debt_consolidation,14,118979
5,3 years,wedding,4,
47,10+ years,debt_consolidation,7,21639
42,10+ years,debt_consolidation,12,70549
,5 years,home_improvement,11,136136
,n/a,credit_card,16,11568
64,3 years,debt_consolidation,17,88542
,4 years,debt_consolidation,7,365596
33,n/a,debt_consolidation,11,167919
,3 years,debt_consolidation,11,32657
80,3 years,debt_consolidation,5,310206
,4 years,debt_consolidation,10,374391
,7 years,credit_card,10,41280
,10+ years,debt_consolidation,8,142805
,3 years,credit_card,10,62203
46,10+ years,credit_card,11,20191
15,10+ years,debt_consolidation,6,95472
,9 years,other,10,180212
,3 years,credit_card,8,19958
67,5 years,major_purchase,13,
,10+ years,small_business,7,8633
,10+ years,debt_consolidation,11,24007
68,6 years,debt_consolidation,6,17302
,n/a,debt_consolidation,6,93133
44,6 years,credit_card,14,24372
18,3 years,credit_card,5,128803
,2 years,debt_consolidation,8,17984
,2 years,credit_card,16,359076
,n/a,debt_consolidation,7,3538
,9 years,debt_consolidation,11,442691
,10+ years,credit_card,18,
,7 years,home_improvement,7,294138
38,n/a,debt_consolidation,30,85122
,< 1 year,other,5,64404
,5 years,credit_card,5,203617
66,6 years,credit_card,12,285086
,3 years,debt_consolidation,12,62178
70,8 years,credit_card,14,163771
,10+ years,credit_card,17,599187
,9 years,debt_consolidation,16,289710
,3 years,debt_consolidation,4,2556
,9 years,debt_consolidation,13,126236
50,n/a,credit_card,9,259622
26,10+ years,debt_consolidation,6,28228
42,4 years,debt_consolidation,10,31663
7,2 years,other,8,29299
,4 years,debt_consolidation,9,185158
,< 1 year,debt_consolidation,7,14329
40,7 years,credit_card,14,194462
,< 1 year,credit_card,7,
30,10+ years,debt_consolidation,9,77065
2,8 years,debt_consolidation,12,315420
,7 years,credit_card,8,10933
,n/a,credit_card,10,23970
,2 years,medical,21,74488
8,n/a,debt_consolidation,8,30243
,4 years,debt_consolidation,19,
,10+ years,credit_card,19,95853
17,10+ years,credit_card,18,371514
,4 years,small_business,5,32484
13,5 years,debt_consolidation,16,39553
,3 years,debt_consolidation,4,14430
67,8 years,credit_card,12,127817
,8 years,debt_consolidation,14,148612
,4 years,debt_consolidation,13,136535
73,2 years,credit_card,7,769631
44,3 years,credit_card,16,411145
47,5 years,credit_card,11,549183
,10+ years,credit_card,10,158649
8,4 years,debt_consolidation,24,232471
4,2 years,credit_card,22,460281
7,2 years,credit_card,9,348555
30,10+ years,debt_consolidation,12,312405
28,6 years,debt_consolidation,14,
,< 1 year,debt_consolidation,6,60802
41,9 years,other,9,87106
,< 1 year,credit_card,8,76673
,< 1 year,debt_consolidation,6,184729
,2 years,debt_consolidation,11,29251
20,7 years,debt_consolidation,10,443627
,10+ years,other,7,
21,9 years,major_purchase,5,249563
55,9 years,debt_consolidation,12,244119
,7 years,debt_consolidation,13,155414
13,3 years,debt_consolidation,12,398016
7,10+ years,debt_consolidation,22,82163
,8 years,debt_consolidation,26,71601
45,4 years,debt_consolidation,16,40049
,6 years,credit_card,14,11970
,9 years,debt_consolidation,16,264404
10,3 years,debt_consolidation,14,36110
,7 years,debt_consolidation,12,130193
,10+ years,debt_consolidation,31,250499
0,1 year,credit_card,13,129456
64,7 years,debt_consolidation,7,107251
,10+ years,debt_consolidation,11,21287
38,10+ years,credit_card,16,114264
,8 years,credit_card,24,120810
32,10+ years,debt_consolidation,22,105173
,9 years,debt_consolidation,12,24709
,7 years,debt_consolidation,13,122041
22,6 years,credit_card,2,3608
,3 years,other,9,64364
,6 years,debt_consolidation,7,
,n/a,debt_consolidation,13,26142
,10+ years,debt_consolidation,16,19014
4,4 years,debt_consolidation,8,44426
28,1 year,debt_consolidation,20,51726
,n/a,other,11,
,3 years,credit_card,10,197071
50,n/a,debt_consolidation,9,335215
31,10+ years,home_improvement,5,344419
,8 years,credit_card,28,74080
,10+ years,debt_consolidation,8,222910
3,1 year,debt_consolidation,21,31675
,2 years,debt_consolidation,7,
20,6 years,credit_card,13,24593
,5 years,debt_consolidation,14,266773
,2 years,debt_consolidation,11,59184
,10+ years,debt_consolidation,8,78660
,10+ years,debt_consolidation,8,
,n/a,debt_consolidation,5,8261
20,< 1 year,debt_consolidation,10,621501
38,n/a,credit_card,9,30550
,7 years,debt_consolidation,9,13485
70,8 years,debt_consolidation,8,55372
9,< 1 year,other,10,24469
3,10+ years,debt_consolidation,20,352242
,3 years,other,4,
11,10+ years,home_improvement,10,362177
43,6 years,debt_consolidation,6,11695
,7 years,debt_consolidation,20,
,n/a,debt_consolidation,7,14767
36,< 1 year,debt_consolidation,11,89099
39,1 year,debt_consolidation,22,251991
,10+ years,debt_consolidation,6,9842
11,1 year,credit_card,23,19210
,10+ years,debt_consolidation,12,223128
,10+ years,debt_consolidation,26,101205
18,6 years,debt_consolidation,8,29128
74,10+ years,debt_consolidation,12,187871
58,10+ years,debt_consolidation,5,36114
9,10+ years,debt_consolidation,23,402958
,8 years,credit_card,19,267960
,10+ years,debt_consolidation,21,27195
64,10+ years,credit_card,10,165096
50,10+ years,debt_consolidation,10,170304
68,2 years,debt_consolidation,10,22787
,10+ years,credit_card,21,163169
34,9 years,debt_consolidation,20,269625
23,2 years,credit_card,6,28730
80,10+ years,credit_card,8,103032
,3 years,credit_card,8,30844
,8 years,credit_card,16,30466
20,10+ years,home_improvement,10,371807
44,10+ years,debt_consolidation,11,200561
10,1 year,debt_consolidation,8,17595
,< 1 year,debt_consolidation,9,9420
63,8 years,credit_card,33,426217
,4 years,credit_card,6,130236
,4 years,credit_card,7,235521
70,3 years,credit_card,6,32460
9,10+ years,credit_card,12,13856
20,4 years,home_improvement,21,55277
,10+ years,credit_card,10,
,10+ years,home_improvement,10,492064
19,10+ years,debt_consolidation,6,174191
12,1 year,credit_card,9,192295
,< 1 year,debt_consolidation,13,148568
14,6 years,other,11,254355
,10+ years,debt_consolidation,8,239284
,10+ years,debt_consolidation,11,
,8 years,debt_consolidation,12,51478
,7 years,credit_card,11,156160
61,10+ years,home_improvement,17,318212
,10+ years,debt_consolidation,9,140298
29,8 years,medical,18,310340
,5 years,small_business,4,
,2 years,home_improvement,7,65151
,3 years,debt_consolidation,10,35106
25,5 years,credit_card,9,30752
,4 years,debt_consolidation,4,18267
,4 years,credit_card,12,78584
17,4 years,debt_consolidation,12,650891
,10+ years,credit_card,8,201892
29,10+ years,credit_card,10,81613
77,10+ years,debt_consolidation,14,102197
29,10+ years,debt_consolidation,11,116827
20,1 year,debt_consolidation,10,19667
,3 years,debt_consolidation,9,148677
,6 years,credit_card,8,18099
,n/a,debt_consolidation,5,7785
,< 1 year,debt_consolidation,13,16609
,4 years,debt_consolidation,8,361651
,3 years,debt_consolidation,15,
9,7 years,debt_consolidation,15,69306
2,10+ years,home_improvement,5,465719
50,< 1 year,debt_consolidation,8,279628
,3 years,other,6,
6,8 years,debt_consolidation,8,26144
,10+ years,debt_consolidation,15,46344
14,2 years,credit_card,8,526792
,7 years,debt_consolidation,21,68973
,2 years,wedding,14,72799
62,10+ years,debt_consolidation,5,26007
43,2 years,credit_card,7,228854
,2 years,credit_card,21,101866
,< 1 year,debt_consolidation,10,14534
12,10+ years,debt_consolidation,14,214193
,2 years,debt_consolidation,11,
,5 years,debt_consolidation,6,11147
21,3 years,debt_consolidation,10,66006
29,8 years,debt_consolidation,13,47131
,7 years,debt_consolidation,11,33969
,< 1 year,debt_consolidation,17,256352
,10+ years,debt_consolidation,12,268350
,1 year,debt_consolidation,14,154834
12,7 years,debt_consolidation,11,38251
,3 years,debt_consolidation,11,33160
7,6 years,debt_consolidation,7,6639
,5 years,credit_card,9,125273
,10+ years,debt_consolidation,8,37223
,10+ years,credit_card,10,296369
16,2 years,debt_consolidation,7,64953
27,10+ years,debt_consolidation,19,187975
,9 years,debt_consolidation,11,22578
31,10+ years,debt_consolidation,21,143879
,10+ years,debt_consolidation,19,87318
52,5 years,debt_consolidation,6,
79,1 year,debt_consolidation,15,32771
,6 years,credit_card,20,294171
,6 years,debt_consolidation,11,99013
,10+ years,debt_consolidation,13,21724
61,3 years,debt_consolidation,13,21059
,< 1 year,debt_consolidation,12,156538
,3 years,credit_card,8,11189
51,10+ years,credit_card,9,50466
38,10+ years,debt_consolidation,23,292150
70,< 1 year,debt_consolidation,16,81066
,10+ years,debt_consolidation,8,15276
,< 1 year,debt_consolidation,17,163011
,10+ years,debt_consolidation,6,114809
,10+ years,debt_consolidation,8,29794
79,10+ years,small_business,15,63930
31,7 years,debt_consolidation,19,63814
3,10+ years,other,8,221738
13,4 years,debt_consolidation,11,176402
,< 1 year,credit_card,15,44930
29,10+ years,debt_consolidation,10,162041
,10+ years,debt_consolidation,8,529468
63,10+ years,credit_card,7,24304
6,10+ years,credit_card,13,288957
21,2 years,debt_consolidation,5,55882
,9 years,debt_consolidation,8,63405
,4 years,credit_card,10,114646
24,10+ years,home_improvement,5,18103
,10+ years,credit_card,4,136910
63,10+ years,debt_consolidation,7,44574
,10+ years,debt_consolidation,16,275667
63,5 years,debt_consolidation,10,
74,6 years,car,10,
,10+ years,credit_card,17,368490
3,10+ years,debt_consolidation,12,360917
5,< 1 year,debt_consolidation,10,38977
59,5 years,home_improvement,23,429432
,10+ years,credit_card,6,13040
41,2 years,major_purchase,9,6830
,3 years,debt_consolidation,8,
,5 years,credit_card,18,121583
,9 years,debt_consolidation,5,9368
,7 years,debt_consolidation,11,10943
24,2 years,credit_card,24,224050
56,10+ years,debt_consolidation,20,165099
41,7 years,debt_consolidation,8,146962
,8 years,debt_consolidation,10,7954
,5 years,debt_consolidation,6,224062
,10+ years,credit_card,12,64313
40,8 years,other,11,7792
40,2 years,debt_consolidation,17,190416
